shock,points,n
-0.5338406998686845,1.3401548985245069,17689
-0.3282761498602419,1.3524423337856173,17688
-0.2274259692885344,1.3425292554695007,17689
-0.15286512966396745,1.367537313432836,17688
-0.09058324657232895,1.343377240092713,17689
-0.033748793694765016,1.3654454997738579,17688
0.020965657979977948,1.3496155585707825,17688
0.07804233559269638,1.3811973542879756,17689
0.14199586633581202,1.3707598371777476,17688
0.21890754123198541,1.3713607326587145,17689
0.32607372091865205,1.3788444142921754,17688
0.5792361975269732,1.4057323760529143,17689
