shock,attendance,n
-0.5296935801356758,0.03989868888335853,8423
-0.32514618331092154,0.015489740474715052,8423
-0.2256615677634088,0.01465303049799761,8423
-0.15210312747971103,-7.090662810721349e-05,8423
-0.08980732379235683,0.002594486186041773,8423
-0.03345764001347286,-0.004023979598898154,8423
0.02108026542136181,-0.003546709038012411,8423
0.0779591418891012,-0.0096215793587808,8423
0.1415156449157446,-0.005895252549156042,8423
0.21820685696632947,-0.014146875738544906,8423
0.3246411233356278,-0.012048350434572457,8423
0.577843779265973,-0.02328229269604105,8423
