term,estimate,std_error,ci_low,ci_high,p_value,nobs,r_squared,specification
ssb_continuous:relative_log_market:market_gini,-0.640146798355333,0.28328915889043016,-1.195383346991221,-0.08491024971944494,0.023840252072785364,5942,0.47417902185872474,current_value_full_sample
ssb_continuous:relative_log_market:market_gini,-0.5597358702262207,0.3217389349779805,-1.190332595207337,0.07086085475489534,0.08190808092450962,5078,0.513716487272633,current_value_lagged_sample
ssb_continuous:relative_log_market:market_gini,-0.4721234394723903,0.3054750100210863,-1.0708434572907315,0.12659657834595095,0.12221602379081425,5078,0.36763429600959596,lagged_value_lagged_sample
