relative_market_group,inequality_group,n,leagues,ssb_mean,ssb_sd,ssb_min,ssb_max
low,low,429,14,0.00795083234876918,0.23009783840675554,-0.8928571428571429,0.6210526315789473
low,middle,677,17,0.006688633211881457,0.22105893986170902,-0.6105263157894737,0.5754385964912281
low,high,875,16,0.03396708391089599,0.21523945430635405,-0.6719298245614035,0.6859649122807018
middle,low,972,14,-0.002091524705511185,0.2261921966604219,-0.6785714285714287,0.7493506493506493
middle,middle,579,17,0.010441285969334657,0.21964493589373346,-0.5877192982456141,0.5896103896103897
middle,high,429,16,0.006917057781225777,0.22698621238063021,-0.7618577075098815,0.6151960784313726
high,low,599,14,-0.01834689110333154,0.2343396829592738,-0.7857142857142859,0.625
high,middle,709,17,0.006872957241291342,0.22374405339393755,-0.6857142857142856,0.6842105263157895
high,high,673,16,0.018128782489762556,0.21121710753820888,-0.6043956043956044,0.6298245614035087
