term,estimate,std_error,ci_low,ci_high,p_value,nobs,r_squared,outcome,schedule_balance,schedule_strength_temporally_safe
ssb_continuous:relative_log_market:market_gini,-0.640146798355333,0.28328915889043016,-1.195383346991221,-0.08491024971944494,0.023840252072785364,5942,0.47417902185872474,points_per_game,ssb_continuous,True
ssb_preseason_elo:relative_log_market:market_gini,-0.7630700599902399,0.33952525940072814,-1.4285273402572864,-0.09761277972319338,0.024610527506683123,5560,0.4836750201131217,points_per_game,ssb_preseason_elo,True
ssb_market_value:relative_log_market:market_gini,-0.4700472672202756,0.3480300498250411,-1.1521736304150367,0.21207909597448543,0.17682555139718958,5636,0.48160272538946713,points_per_game,ssb_market_value,False
ssb_final_rank:relative_log_market:market_gini,-0.21995498747110764,0.38427991173283177,-0.9731297744496888,0.5332197995074736,0.5670630613150015,5636,0.4816238306893631,points_per_game,ssb_final_rank,False
ssb_continuous:relative_log_market:market_gini,-0.6985977660944604,0.42417959926742976,-1.5299745036352554,0.13277897144633455,0.09957066166563493,5942,0.5062363183025933,goal_difference_per_game,ssb_continuous,True
ssb_preseason_elo:relative_log_market:market_gini,-0.8633735299249223,0.477970367379378,-1.8001782356658813,0.07343117581603675,0.07086637859353397,5560,0.5167675984224737,goal_difference_per_game,ssb_preseason_elo,True
ssb_market_value:relative_log_market:market_gini,-0.7013857124529916,0.4733248874264936,-1.6290854447953946,0.22631401988941124,0.13838626855255035,5636,0.5147139408393275,goal_difference_per_game,ssb_market_value,False
ssb_final_rank:relative_log_market:market_gini,-0.21532212722334165,0.5552144820854442,-1.3035225158058714,0.8728782613591881,0.698150781017466,5636,0.5149426461169676,goal_difference_per_game,ssb_final_rank,False
ssb_continuous:relative_log_market:market_gini,-0.23136830767044064,0.10033760803639222,-0.42802640571666606,-0.0347102096242152,0.021116322408402312,5942,0.47474101373786814,win_rate,ssb_continuous,True
ssb_preseason_elo:relative_log_market:market_gini,-0.2544055067943165,0.11522648828323936,-0.4802452738944922,-0.028565739694140835,0.02725309453361573,5560,0.4858052566021369,win_rate,ssb_preseason_elo,True
ssb_market_value:relative_log_market:market_gini,-0.24053251287362232,0.11317481574861296,-0.46235107569786027,-0.018713950049384392,0.03356005797790579,5636,0.4809433808175434,win_rate,ssb_market_value,False
ssb_final_rank:relative_log_market:market_gini,-0.11704666062023192,0.13512486203217425,-0.38188652361923725,0.1477932023787734,0.38637438606210917,5636,0.4808132269198463,win_rate,ssb_final_rank,False
