league_name,team_seasons,ssb_available,ssb_mean,ssb_sd,ppg_mean
2bundesliga,324,324,-0.0019063180827886702,0.2354042784778225,1.3625635439360928
bundesliga,324,324,0.021173747276688453,0.20544198239796785,1.3749092229484388
campeonatobrasileiroseriea,300,300,-0.0010584795321637425,0.20871134259180288,1.3654457088667615
campeonatobrasileiroserieb,260,260,-0.011531713900134952,0.22854513177143584,1.3631578947368421
challengerproleague,216,216,-0.02786861377547652,0.28495687230480815,1.343132050449248
championship,456,456,-8.234519104084353e-05,0.19965406794893337,1.3588386727688788
j1league,238,238,-0.012284604244174453,0.2435455894942487,1.3736829096963863
j2league,282,282,-0.01158184824953099,0.21355482021423103,1.3639506567838033
jupilerproleague,212,212,0.003632433030556475,0.22863185186917928,1.374038105808361
laliga,360,360,0.03741715399610136,0.20109290119329534,1.3767543859649123
laliga2,352,352,0.0009924734356552554,0.23199730554507106,1.3515286796536796
ligaportugal,322,322,0.04502173154374689,0.23080254562454913,1.374625502374863
ligaportugal2,292,291,-0.010762643362665842,0.23026548771660507,1.3498204353682792
ligue1,376,376,0.017412864690114112,0.22022952628030898,1.360026513404914
ligue2,260,259,0.007958376389789463,0.23104214701689507,1.3425101214574897
premierleague,380,380,0.021537396121883656,0.22408251579981014,1.3758310249307477
saudiproleague,108,108,0.037997003171980646,0.2415662443947,1.3815024300318417
seriea,380,380,0.027562326869806093,0.21307687031550815,1.3468144044321329
serieb,407,407,0.003237162104534561,0.20829640257575813,1.3240626135362976
superlig,95,95,0.014757753516919235,0.1999367034852574,1.3683739793239549
