league_name,team_seasons,spearman_path_ssb,passes_overall_threshold
2bundesliga,306,0.8782981241716757,True
bundesliga,306,0.7653437563984916,True
campeonatobrasileiroseriea,280,0.8643934769187646,True
campeonatobrasileiroserieb,240,0.8908062203510737,True
challengerproleague,198,0.6768764365364219,True
championship,432,0.666493287538182,True
j1league,220,0.5950534212893016,False
j2league,262,0.5553108254278253,False
jupilerproleague,194,0.639529929180133,True
laliga,340,0.787882266662766,True
laliga2,330,0.8239508988915657,True
ligaportugal,308,0.7931945268813954,True
ligaportugal2,288,0.8800615885425708,True
ligue1,356,0.6397462944796888,True
ligue2,240,0.7648075362662536,True
premierleague,360,0.6727364432554803,True
saudiproleague,94,0.7008785367077038,True
seriea,360,0.7797460556937985,True
serieb,385,0.8419148748707651,True
superlig,77,0.7428624007571375,True
