term,estimate,std_error,ci_low,ci_high,p_value,nobs,r_squared
ssb_continuous,0.03049859036071223,0.055962539226945704,-0.07918597100751135,0.1401831517289358,0.5857657277987303,5942,0.47417902185872485
ssb_continuous:relative_log_market,0.3149126154248658,0.1102377402110327,0.0988506148741588,0.5309746159755728,0.004281134924304768,5942,0.47417902185872485
ssb_continuous:market_gini,-0.0819589808423362,0.162752898532024,-0.40094880034460506,0.23703083865993263,0.6145570844954478,5942,0.47417902185872485
ssb_continuous:relative_log_market:market_gini,-0.6401467983553362,0.2832891588904324,-1.1953833469912285,-0.08491024971944383,0.023840252072785773,5942,0.47417902185872485
