term,estimate,std_error,ci_low,ci_high,p_value,nobs,r_squared,value_source,period,timing,covariance
own_elo_100,-1.041624127199693,0.020872577604333357,-1.0825336275687039,-1.0007146268306824,0.0,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
opponent_elo_100,-0.4045381714077828,0.00809288484985296,-0.42039993424452443,-0.3886764085710412,0.0,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
opponent_start_elo_100,-0.04240988098247646,0.011331934822675568,-0.06462006511007586,-0.02019969685487706,0.00018219117841042817,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
is_home,0.505031929354451,0.008088331832946764,0.48917909026686646,0.5208847684420355,0.0,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
rest_days_capped,0.00011402034882893841,0.0004519278515608311,-0.0007717419638408542,0.000999782661498731,0.8008109806361889,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
season_progress,-0.0057492094507477255,0.022208171745525293,-0.04927642623445733,0.03777800733296187,0.795729290955818,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
phase_middle,0.0055680828728756175,0.007112508721557063,-0.00837217806110325,0.019508343806854483,0.43371062577776387,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
phase_late,0.006001616640847385,0.01193298392944481,-0.017386602088959695,0.02938983537065447,0.6150039999530515,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
past_shock_early,-0.035912585036916564,0.054865279124740096,-0.14344655612314441,0.07162138604931129,0.5127514612223948,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
past_resource_early,-0.03420260433428419,0.058108025729710265,-0.1480922419772431,0.07968703330867472,0.5561270890439234,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
past_gini_early,-0.08786400270723449,0.05127920280692078,-0.18836939336472447,0.01264138795025549,0.08663102962397812,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
past_resource_gini_early,0.00206182090389884,0.04649103164606445,-0.08905892672649939,0.09318256853429706,0.9646263827469697,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
past_shock_middle,-0.08060357774481519,0.1361208798969706,-0.34739559988677987,0.1861884443971495,0.553752121608361,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
past_resource_middle,0.04336437089679425,0.14203759413203296,-0.23502419805270808,0.32175293984629655,0.7601361027883164,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
past_gini_middle,-0.017285695073459846,0.12362404687027252,-0.25958437456228556,0.22501298441536588,0.8887984984607096,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
past_resource_gini_middle,-0.03399703711078102,0.10805861263568745,-0.24578802609609324,0.17779395187453118,0.7530527470808099,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
past_shock_late,-0.4230009533428083,0.21446286852181187,-0.8433404516667085,-0.0026614550189081876,0.04856694494411121,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
past_resource_late,-0.24331008278068822,0.23243499379038432,-0.6988742993566326,0.21225413379525615,0.2951975239274758,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
past_gini_late,-0.3171495955394875,0.1877990927566885,-0.6852290536718939,0.05092986259291887,0.09126339084781038,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
past_resource_gini_late,-0.08213836827839308,0.1566500763497397,-0.38916687609933265,0.22489013954254647,0.6000400060990817,160382,0.1060630285872236,preceding_season,full,past,team_season_and_fixture
own_elo_100,-1.041624127199693,0.04790755965406804,-1.1418958019436585,-0.9413524524557277,6.93950971913679e-15,160382,0.1060630285872236,preceding_season,full,past,league_small_sample_t
