league_name,seasons,market_gini_mean,market_gini_sd
2bundesliga,18,0.21301144017037787,0.039789452165131765
bundesliga,18,0.37141812747047437,0.0539510706197608
campeonatobrasileiroseriea,15,0.33158663101663943,0.0568628896323003
campeonatobrasileiroserieb,13,0.3498743904481467,0.09139983110654384
challengerproleague,14,0.2325173294972942,0.05966157471031101
championship,19,0.2871556921630609,0.057330353932072635
j1league,13,0.1409937377809157,0.023960940745977353
j2league,13,0.2895022467252316,0.0716488555913981
jupilerproleague,13,0.3729592331368094,0.019731699002814344
laliga,18,0.4720197297643656,0.043854604688022665
laliga2,16,0.24553340536970936,0.051500549768111
ligaportugal,19,0.5351764147900687,0.059541909616648195
ligaportugal2,16,0.37254622143712046,0.11139836060184011
ligue1,19,0.37083294301181435,0.07787080434555776
ligue2,13,0.2382935298700456,0.08484513968635053
premierleague,19,0.3427956611121202,0.03991910763447162
saudiproleague,7,0.3985176917316636,0.09363008181552027
seriea,19,0.37964355014842516,0.03252484767969953
serieb,19,0.25858252253532055,0.07853969581809118
superlig,5,0.39719045501910305,0.08375041770710895
