id,mechanism,past_term,expected_sign,estimate,std_error,ci95_low,ci95_high,directional_p_value,conservative_league_estimate,conservative_league_std_error,conservative_league_ci95_low,conservative_league_ci95_high,conservative_directional_p_value,conservative_sign_compatible,future_term,future_estimate,future_std_error,ci90_low,ci90_high,equivalence_p_value,inside_margin,directional_holm_p,equivalence_holm_p,classification
F1,fatigue_under_short_rest,past_x_short_rest,-1,0.009862045655475769,0.042867362092563324,-0.07415798404594834,0.09388207535689988,0.5909772484418545,0.009862045655475769,0.026049389333290117,-0.04465995282174766,0.0643840441326992,0.6454053376910209,False,future_x_short_rest,-0.026714817568363164,0.04262907748979042,-0.09683341029104028,0.043403775154313956,0.29245471797836503,False,1.0,0.582186114035923,unsupported
A1,adaptation_after_long_recovery,past_x_long_recovery,1,7.572447066026607e-05,0.0312376537881031,-0.06115007695402181,0.061301525895342344,0.4990329086933135,7.572447066026607e-05,0.035921149913527,-0.07510810636035868,0.0752595553016792,0.4991699887651961,True,future_x_long_recovery,0.033267964985293955,0.030411138525486242,-0.016753906518075727,0.08328983648866364,0.2910930570179615,False,1.0,0.582186114035923,unsupported
R1,resource_buffering,past_x_resource,1,-0.0007200685677482546,0.016109653906849902,-0.03229499022517406,0.03085485308967755,0.5178259676912649,-0.0007200685677482546,0.01494671388710251,-0.032003900267812524,0.030563763132316013,0.5189604931096725,False,future_x_resource,-0.0009794161805995391,0.016224400747312483,-0.02766618059493065,0.02570734823373157,0.0012579977235448673,True,1.0,0.0037739931706346017,unsupported
R2,buffering_weakens_with_inequality,past_x_resource_x_gini,-1,-0.002251371456022255,0.013279808743215556,-0.02827979659272474,0.023777053680680234,0.43268854186173156,-0.002251371456022255,0.009412500726721786,-0.02195196188918664,0.017449218977142127,0.4067599037828415,True,future_x_resource_x_gini,0.009674587462115216,0.012549315432555235,-0.010967199542881341,0.030316374467111773,0.0006559688314119215,True,1.0,0.002623875325647686,unsupported
