term,estimate,std_error,ci_low,ci_high,p_value,nobs,r_squared
schedule_shock_lag3,0.011923236340950556,0.008914755889099001,-0.005549364132649833,0.029395836814550946,0.1810686177885268,212262,0.09897698720402115
own_elo_100,-0.8785104156313479,0.016507434354541158,-0.9108643924434078,-0.846156438819288,0.0,212262,0.09897698720402115
opponent_elo_100,-0.41832588846714625,0.004291690157525058,-0.4267374466087004,-0.4099143303255921,0.0,212262,0.09897698720402115
is_home,0.5094804872252181,0.005514983671741293,0.49867131785327873,0.5202896565971575,0.0,212262,0.09897698720402115
rest_days,-0.00024336368968507082,0.0006115450953357171,-0.0014419700514651903,0.0009552426720950486,0.6906678633948169,212262,0.09897698720402115
season_progress,0.011387566499126485,0.012748251222223552,-0.013598546762300403,0.036373679760553376,0.37171528190263425,212262,0.09897698720402115
