league_name,season_year,teams,observed_mean_abs_ssb,null_mean_abs_ssb,null_sd,empirical_p_upper,permutations
2bundesliga,2024,18,0.20206971677559912,0.2027952069716776,0.03506471610143596,0.50199203187251,250
bundesliga,2024,18,0.21132897603485837,0.20255882352941176,0.032987444992794664,0.4103585657370518,250
campeonatobrasileiroseriea,2024,20,0.15052631578947367,0.19504070175438595,0.034266596949540616,0.9282868525896414,250
campeonatobrasileiroserieb,2024,20,0.16245614035087722,0.18910947368421052,0.03275687649124,0.7848605577689243,250
challengerproleague,2023,16,0.19955357142857139,0.2192803571428571,0.04155138468210766,0.701195219123506,250
championship,2024,24,0.1629611330698287,0.17234206192358364,0.025313156734272164,0.6374501992031872,250
j1league,2024,20,0.1626315789473684,0.18762912280701755,0.03327880710007054,0.7689243027888446,250
j2league,2024,20,0.13842105263157894,0.18594,0.031338167861550366,0.9362549800796812,250
jupilerproleague,2024,16,0.19062499999999996,0.21743660714285712,0.04407772508282177,0.7051792828685259,250
laliga,2024,20,0.19491228070175443,0.19059684210526318,0.036770400320436644,0.41832669322709165,250
laliga2,2024,22,0.18890200708382524,0.17762573789846517,0.028072992595033687,0.3784860557768924,250
ligaportugal2,2024,18,0.19471677559912853,0.2007701525054466,0.03511060694938583,0.5537848605577689,250
ligue1,2024,18,0.19553376906318085,0.20486928104575164,0.0359369453236051,0.6374501992031872,250
ligue2,2022,20,0.18070175438596492,0.18748315789473682,0.03158066338879325,0.5737051792828686,250
premierleague,2024,20,0.19298245614035087,0.1916821052631579,0.03249464633090397,0.450199203187251,250
saudiproleague,2024,18,0.1328976034858388,0.20283986928104578,0.03317826135318848,0.9960159362549801,250
seriea,2024,20,0.1501754385964912,0.18830385964912277,0.03184034221823469,0.896414342629482,250
serieb,2024,20,0.1487719298245614,0.19011298245614033,0.03261312190857135,0.8884462151394422,250
superlig,2024,19,0.15507033838466133,0.19338482428982673,0.032074956237229155,0.8645418326693227,250
