term,estimate,std_error,ci_low,ci_high,p_value,nobs,r_squared,window
schedule_shock_lag2,-0.006196383187063674,0.006878696539646627,-0.01967838066535136,0.00728561429122401,0.36769054358220377,212262,0.09897272639775267,2
schedule_shock_lag3,0.011923236340950556,0.008914755889099001,-0.005549364132649833,0.029395836814550946,0.1810686177885268,212262,0.09897698720402115,3
schedule_shock_lag5,0.013455698592245583,0.012654009085024513,-0.011345703474445105,0.03825710065893627,0.2876211794243667,212262,0.0989743105058094,5
