term,estimate,std_error,ci_low,ci_high,p_value,nobs,r_squared,excluded_league
ssb_continuous:relative_log_market:market_gini,-0.7495376431968771,0.29062727324416204,-1.319156631680516,-0.1799186547132382,0.009907701065009863,5618,0.4747901531450409,2bundesliga
ssb_continuous:relative_log_market:market_gini,-0.6470647000746556,0.28559103295681915,-1.2068128389776127,-0.08731656117169839,0.023469522270849974,5618,0.46113941373324074,bundesliga
ssb_continuous:relative_log_market:market_gini,-0.6406429625006226,0.28978170052435176,-1.2086046589071238,-0.0726812660941214,0.027051224984537013,5642,0.4869206256159918,campeonatobrasileiroseriea
ssb_continuous:relative_log_market:market_gini,-0.6989428640376444,0.30139003740054265,-1.289656482641888,-0.10822924543340084,0.02039155229628321,5682,0.49450924953555486,campeonatobrasileiroserieb
ssb_continuous:relative_log_market:market_gini,-0.5308096147325706,0.2887695715764155,-1.0967875748534062,0.035168345388264965,0.06603631250424748,5726,0.48391391141498163,challengerproleague
ssb_continuous:relative_log_market:market_gini,-0.5816207817221624,0.28709216322979475,-1.1443110818962545,-0.0189304815480702,0.04277475898298061,5486,0.4868983273498203,championship
ssb_continuous:relative_log_market:market_gini,-0.6453800858131757,0.2920612424203184,-1.2178096022370215,-0.07295056938932987,0.02712305124076475,5704,0.48400984842633477,j1league
ssb_continuous:relative_log_market:market_gini,-0.6496075931613204,0.28970376055917174,-1.2174165300431126,-0.08179865627952843,0.02494090832897407,5660,0.4872625180103475,j2league
ssb_continuous:relative_log_market:market_gini,-0.6394552837012726,0.28282938850967104,-1.1937906989497145,-0.0851198684528307,0.023764066303614703,5730,0.46565252146616665,jupilerproleague
ssb_continuous:relative_log_market:market_gini,-0.6983636410490852,0.30270547675739856,-1.2916554734166128,-0.10507180868155763,0.021050749258662446,5582,0.452238139897831,laliga
ssb_continuous:relative_log_market:market_gini,-0.6177638743673881,0.29138168368149203,-1.1888614801377548,-0.04666626859702139,0.0339960021902408,5590,0.4830020702256651,laliga2
ssb_continuous:relative_log_market:market_gini,-0.4701626690532922,0.37827697280987777,-1.21157191194149,0.2712465738349056,0.21390252326987613,5620,0.44535535215111965,ligaportugal
ssb_continuous:relative_log_market:market_gini,-0.7967280579808638,0.25879558145728676,-1.3039580769952477,-0.28949803896647985,0.002079757686594473,5651,0.5005409832220101,ligaportugal2
ssb_continuous:relative_log_market:market_gini,-0.6537373468995639,0.2886242012496366,-1.219430386415492,-0.08804430738363567,0.023511928769198578,5566,0.46130428592409156,ligue1
ssb_continuous:relative_log_market:market_gini,-0.7100086169685469,0.2869724000877675,-1.2724641856975902,-0.14755304823950355,0.013355901180857534,5683,0.4821091298602117,ligue2
ssb_continuous:relative_log_market:market_gini,-0.5536877330036418,0.2839864563050072,-1.1102909594586137,0.00291549345133002,0.0512121638514239,5562,0.457724907280712,premierleague
ssb_continuous:relative_log_market:market_gini,-0.5782443444932597,0.2837669483425163,-1.1344173432474296,-0.022071345739089754,0.041575559684908184,5834,0.46935638813707103,saudiproleague
ssb_continuous:relative_log_market:market_gini,-0.5799311993023227,0.28418070326616895,-1.136915142805278,-0.022947255799367516,0.04127938210350468,5562,0.4576290487564675,seriea
ssb_continuous:relative_log_market:market_gini,-0.7792367108207874,0.29018166547549834,-1.347982324126614,-0.21049109751496065,0.007245584983343486,5535,0.47885568910392307,serieb
ssb_continuous:relative_log_market:market_gini,-0.5675658281089934,0.28455030392520797,-1.1252741755923275,-0.009857480625659387,0.04608583623266264,5847,0.47078522958827185,superlig
