term,estimate,std_error,ci_low,ci_high,p_value,nobs,r_squared,value_source,covariance,team_seasons,fixtures,leagues
past_shock,0.010228046094392665,0.025629102736321286,-0.040004072224874,0.06046016441365933,0.6898347249090861,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
future_shock,0.003557945154612805,0.025688376695228065,-0.046790347989332265,0.05390623829855787,0.8898420399764142,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
short_rest,-0.003125287771272171,0.007095296885638106,-0.01703181412674207,0.010781238584197727,0.6595944545728742,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
long_recovery,0.009706742113279085,0.006661090125827281,-0.003348754631117763,0.022762238857675934,0.14505282959586624,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
own_elo_100,-1.037409338042045,0.020812412284254615,-1.078200916550583,-0.996617759533507,0.0,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
opponent_elo_100,-0.42251715609422635,0.00468348716631365,-0.4316966222622567,-0.413337689926196,0.0,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
is_home,0.5049458267551323,0.008091525853170023,0.48908672750294435,0.5208049260073203,0.0,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
rest_days_capped,-0.000707887855554753,0.0005873848892020973,-0.0018591410834539138,0.00044336537234440773,0.22814477211357453,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
season_progress,0.008750429997052962,0.012637358475399122,-0.016018337474451326,0.03351919746855725,0.4886701199703073,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
past_x_short_rest,0.009862045655475769,0.042867362092563324,-0.07415644015818591,0.09388053146913745,0.8180455031162911,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
past_x_long_recovery,7.572447066026607e-05,0.0312376537881031,-0.061148951915553,0.061300400856873535,0.998065817386627,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
past_x_resource,-0.0007200685677482546,0.016109653906849902,-0.03229441002857904,0.030854272893082527,0.9643480646174702,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
past_x_gini,0.002780228771679381,0.014253176082424521,-0.025155483015180384,0.030715940558539143,0.8453457432545093,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
past_x_resource_x_gini,-0.002251371456022255,0.013279808743215556,-0.028279318314304865,0.02377657540226035,0.8653770837234631,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
future_x_short_rest,-0.026714817568363164,0.04262907748979042,-0.11026627414251952,0.056836639005793194,0.5308685967617177,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
future_x_long_recovery,0.033267964985293955,0.030411138525486242,-0.026336771253517605,0.09287270122410551,0.2739812347416789,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
future_x_resource,-0.0009794161805995391,0.016224400747312483,-0.032778657316076744,0.030819824954877666,0.9518634498339991,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
future_x_gini,0.05616009167570678,0.013867446526281968,0.02898039592665904,0.08333978742475451,5.1266056832762095e-05,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
future_x_resource_x_gini,0.009674587462115216,0.012549315432555235,-0.014921618816325734,0.034270793740556166,0.4407510825808939,160382,0.10601764004657999,preceding_season,team_season_and_fixture,5078,87825,20
past_shock,0.010228046094392665,0.02406778750323973,-0.040146412086275785,0.060602504275061114,0.675633745283964,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
