term,estimate,std_error,ci_low,ci_high,p_value,nobs,r_squared,value_source,covariance,team_seasons,fixtures,leagues
future_shock,0.003557945154612805,0.03192321603036171,-0.06325811389100718,0.07037400420023278,0.9124259431909642,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
short_rest,-0.003125287771272171,0.009181480740330006,-0.02234234781586948,0.016091772273325138,0.7372971560875206,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
long_recovery,0.009706742113279085,0.006070719346302867,-0.002999419506094699,0.022412903732652867,0.12633015704495473,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
own_elo_100,-1.037409338042045,0.04688807630826766,-1.1355472096201815,-0.9392714664639085,5.0408944927922e-15,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
opponent_elo_100,-0.42251715609422635,0.0075444798033919395,-0.43830793380072336,-0.40672637838772935,1.4628262133452653e-22,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
is_home,0.5049458267551323,0.0285901273951669,0.44510600239845005,0.5647856511118146,3.013721014719115e-13,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
rest_days_capped,-0.000707887855554753,0.0004577284100671072,-0.0016659244282112786,0.00025014871710177255,0.13847271408981965,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
season_progress,0.008750429997052962,0.006567059387369224,-0.004994583267438716,0.022495443261544637,0.198466088939025,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
past_x_short_rest,0.009862045655475769,0.026049389333290117,-0.04465995282174766,0.0643840441326992,0.709189324617958,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
past_x_long_recovery,7.572447066026607e-05,0.035921149913527,-0.07510810636035868,0.0752595553016792,0.9983399775303922,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
past_x_resource,-0.0007200685677482546,0.01494671388710251,-0.032003900267812524,0.030563763132316013,0.9620790137806549,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
past_x_gini,0.002780228771679381,0.012534442012944931,-0.023454659870000463,0.029015117413359222,0.8268306239124991,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
past_x_resource_x_gini,-0.002251371456022255,0.009412500726721786,-0.02195196188918664,0.017449218977142127,0.813519807565683,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
future_x_short_rest,-0.026714817568363164,0.046063048569178935,-0.1231258862430329,0.06969625110630658,0.5687547541903679,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
future_x_long_recovery,0.033267964985293955,0.04488542397776332,-0.06067830709248015,0.12721423706306806,0.4676497295069738,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
future_x_resource,-0.0009794161805995391,0.015065236206329474,-0.032511317945790104,0.030552485584591026,0.948843866826583,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
future_x_gini,0.05616009167570678,0.011399814722310771,0.03230000524611236,0.0800201781053012,9.372120829255803e-05,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
future_x_resource_x_gini,0.009674587462115216,0.01409656400015543,-0.01982986007471631,0.039179034998946746,0.5008091466157993,160382,0.10601764004657999,preceding_season,league_small_sample_t,5078,87825,20
past_shock,0.010182169771740624,0.025054669963773472,-0.03892408100179284,0.059288420545274084,0.6844501301068007,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
future_shock,-0.012444863294471182,0.025065901575187417,-0.06157312762186433,0.03668340103292196,0.6195517288791208,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
short_rest,0.0002701132427177797,0.006303503335399628,-0.012084526271093594,0.012624752756529155,0.9658200788525041,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
long_recovery,0.00661895575496202,0.006046633439844258,-0.005232228014848266,0.018470139524772305,0.2736693883175547,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
own_elo_100,-1.0278005795381175,0.01894379982274194,-1.064929744921028,-0.9906714141552071,0.0,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
opponent_elo_100,-0.4200394086764098,0.004480446592531122,-0.42882092263242605,-0.4112578947203936,0.0,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
is_home,0.5142054792763129,0.007653032847604282,0.49920581052250645,0.5292051480301193,0.0,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
rest_days_capped,-0.0005166786284428371,0.0004955199607436087,-0.0014878799051210117,0.00045452264823533743,0.2970872902653241,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
season_progress,0.00435949532464729,0.011186466252652143,-0.017565575644823653,0.026284566294118232,0.6967498401273944,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
past_x_short_rest,0.01004992421174275,0.041586926818956475,-0.07145895458111481,0.09155880300460031,0.8090431143515311,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
past_x_long_recovery,-0.004778292601525926,0.030445328432890457,-0.06445003982748451,0.05489345462443265,0.8752868863618433,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
past_x_resource,-0.0001997918478346514,0.016614250652100503,-0.032763124756072744,0.032363541060403435,0.9904054060484396,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
past_x_gini,0.007539578483373267,0.013447258227554321,-0.018816563333443125,0.033895720300189655,0.5750172380525433,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
past_x_resource_x_gini,-9.78841116074671e-05,0.013112033807030417,-0.025796998137458695,0.025601229914243764,0.9940436779570575,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
future_x_short_rest,-0.013376696554185857,0.04134925240752522,-0.09441974206059141,0.0676663489522197,0.7463126996388255,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
future_x_long_recovery,0.029024687388197364,0.029645672802832305,-0.02907976360281255,0.08712913837920727,0.3275537511839095,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
future_x_resource,-0.009448206706287283,0.01702706907797829,-0.04282064886140036,0.023924235448825788,0.5789676386535896,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
future_x_gini,0.07182119291454192,0.012919285070163116,0.04649985947101619,0.09714252635806765,2.7097754398420327e-08,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
future_x_resource_x_gini,0.011683372808273492,0.012117128384914126,-0.012065762422206189,0.035432508038753176,0.334944108152904,187892,0.10423264458201476,same_season,team_season_and_fixture,5942,94418,20
past_shock,0.010182169771740624,0.02343107666209113,-0.038859637302701255,0.05922397684618251,0.6687783070685709,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
future_shock,-0.012444863294471182,0.031052529847577653,-0.07743855521568319,0.05254882862674082,0.6930617858475953,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
short_rest,0.0002701132427177797,0.007738133982794237,-0.01592598731950493,0.016466213804940486,0.9725182051943404,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
long_recovery,0.00661895575496202,0.005446624211954467,-0.004780959735981377,0.018018871245905416,0.2391603429799681,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
own_elo_100,-1.0278005795381175,0.03994338731404456,-1.1114030500009604,-0.9441981090752746,3.126217120966124e-16,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
opponent_elo_100,-0.4200394086764098,0.007964721568631249,-0.4367097625062197,-0.40336905484659996,4.54976631586552e-22,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
is_home,0.5142054792763129,0.028787848581824357,0.4539518197198904,0.5744591388327354,2.460723983930326e-13,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
rest_days_capped,-0.0005166786284428371,0.00043022998658249665,-0.0014171603392877665,0.00038380308240209236,0.24453416268296277,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
season_progress,0.00435949532464729,0.0032394266331544695,-0.002420702541035935,0.011139693190330514,0.19421973871707898,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
past_x_short_rest,0.01004992421174275,0.023890845743140505,-0.03995419060880867,0.06005403903229417,0.6787230086886074,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
past_x_long_recovery,-0.004778292601525926,0.03423483519532432,-0.0764326261640439,0.06687604096099203,0.8904654868349631,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
past_x_resource,-0.0001997918478346514,0.01692615616919047,-0.035626643858621895,0.035227060162952586,0.9907052632410382,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
past_x_gini,0.007539578483373267,0.00948888073767513,-0.012320877149992436,0.02740003411673897,0.43667682670618485,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
past_x_resource_x_gini,-9.78841116074671e-05,0.010071871398979226,-0.02117855322257805,0.020982784999363117,0.9923471513350082,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
future_x_short_rest,-0.013376696554185857,0.04065212745029294,-0.09846257717052129,0.07170918406214957,0.7457152246606792,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
future_x_long_recovery,0.029024687388197364,0.0404524961663055,-0.05564336014873995,0.11369273492513468,0.4817943871731088,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
future_x_resource,-0.009448206706287283,0.013129568172486939,-0.03692870871529619,0.01803229530272162,0.4805221865757539,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
future_x_gini,0.07182119291454192,0.011773846052504582,0.04717824991374952,0.09646413591533431,7.2655149917996304e-06,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
future_x_resource_x_gini,0.011683372808273492,0.012430528627265685,-0.01433402261760468,0.037700768234151666,0.3590687647113878,187892,0.10423264458201476,same_season,league_small_sample_t,5942,94418,20
