term,estimate,std_error,ci_low,ci_high,p_value,nobs,r_squared,specification,schedule_balance,cluster,clusters
ssb_continuous:relative_log_market:market_gini,-0.640146798355333,0.28328915889043016,-1.195383346991221,-0.08491024971944494,0.023840252072785364,5942,0.47417902185872474,same_season_dynamic_elo,ssb_continuous,league_season,306
ssb_continuous:relative_log_market:market_gini,-0.640146798355333,0.32980051583229003,-1.3304272111485842,0.050133614437918306,0.06723919263659175,5942,0.47417902185872474,same_season_dynamic_elo,ssb_continuous,league_small_sample_t,20
ssb_preseason_elo:relative_log_market:market_gini,-0.7630700599902399,0.33952525940072814,-1.4285273402572864,-0.09761277972319338,0.024610527506683123,5560,0.4836750201131217,same_season_fixed_start_elo,ssb_preseason_elo,league_season,286
ssb_preseason_elo:relative_log_market:market_gini,-0.7630700599902399,0.3345768531271543,-1.4633474616336097,-0.0627926583468702,0.03427982856710423,5560,0.4836750201131217,same_season_fixed_start_elo,ssb_preseason_elo,league_small_sample_t,20
ssb_continuous:relative_log_market:market_gini,-0.5597358702262207,0.3217389349779805,-1.190332595207337,0.07086085475489534,0.08190808092450962,5078,0.513716487272633,same_season_lagged_sample,ssb_continuous,league_season,288
ssb_continuous:relative_log_market:market_gini,-0.5597358702262207,0.30532563611003366,-1.1987897710320392,0.07931803057959785,0.08248289252190052,5078,0.513716487272633,same_season_lagged_sample,ssb_continuous,league_small_sample_t,20
ssb_continuous:relative_log_market:market_gini,-0.4721234394723903,0.3054750100210863,-1.0708434572907315,0.12659657834595095,0.12221602379081425,5078,0.36763429600959596,preceding_season_dynamic_elo,ssb_continuous,league_season,288
ssb_continuous:relative_log_market:market_gini,-0.4721234394723903,0.3175133486862849,-1.1366865158685173,0.19243963692373678,0.1534377828395722,5078,0.36763429600959596,preceding_season_dynamic_elo,ssb_continuous,league_small_sample_t,20
