value_source,period,phase,team_match_rows,past_shock_sd,future_shock_sd,past_future_shock_correlation
preceding_season,full,all,160382,0.08501645156136113,0.0849232154836671,-0.23302009417869982
preceding_season,full,early,46332,0.1422643276699137,0.036896746280537435,-0.4596026910613041
preceding_season,full,middle,63852,0.04840955219223442,0.045655098547901236,-0.25532558515757264
preceding_season,full,late,50198,0.0378372986175938,0.138325065725584,-0.46442900949912513
preceding_season,holdout_2018_2024,all,49198,0.09067625943882981,0.09004863209843428,-0.2286167677043763
preceding_season,holdout_2018_2024,early,14170,0.15155864021416582,0.039257852867551624,-0.4492950306827499
preceding_season,holdout_2018_2024,middle,19585,0.05213161932090185,0.04773514547332834,-0.23081405007505984
preceding_season,holdout_2018_2024,late,15443,0.040886372714012444,0.14672696854310788,-0.460995255148639
same_season,full,all,187892,0.0805583742747167,0.08044257700531479,-0.23575423477991878
same_season,full,early,54341,0.13483874164077866,0.03487597602914147,-0.4657498861855179
same_season,full,middle,74738,0.045722783354701965,0.04309731767980087,-0.2610815877528409
same_season,full,late,58813,0.03573920613822338,0.13110625247093638,-0.47024806479037595
same_season,holdout_2018_2024,all,53936,0.08872699751182414,0.0881685563812409,-0.23003855485355287
same_season,holdout_2018_2024,early,15546,0.1484346984776865,0.038461834235371,-0.4541430515880352
same_season,holdout_2018_2024,middle,21463,0.05075959551360088,0.046658948181954187,-0.23453470250187278
same_season,holdout_2018_2024,late,16927,0.039787297882672386,0.14370598063382897,-0.463225552423712
