term,estimate,std_error,ci_low,ci_high,p_value,nobs,r_squared
schedule_shock_lag3,-0.004314304184033852,0.0033105198661469684,-0.01080280389178627,0.002174195523718566,0.19250291319199808,101076,0.1319358779827362
home_elo_100,0.24903774250742267,0.0088769729660202,0.23163919520228737,0.26643628981255796,3.534700827261651e-173,101076,0.1319358779827362
away_elo_100,0.06412583413039047,0.003112090165861046,0.05802624948866154,0.07022541877211941,2.4552969604189024e-94,101076,0.1319358779827362
opponent_log_market,0.11545089119253454,0.0033360893274888503,0.10891227626144795,0.12198950612362114,2.006418322743864e-262,101076,0.1319358779827362
rest_days,0.0005916926477680788,0.00024069526339608326,0.0001199386002623736,0.0010634466952737839,0.013961026531855132,101076,0.1319358779827362
weekend,0.07727214290457216,0.003083133999971934,0.07122931130511626,0.08331497450402806,1.264413070405303e-138,101076,0.1319358779827362
season_progress,0.12604720809773703,0.0061130501999488275,0.11406584987015196,0.13802856632532212,1.8396025113007814e-94,101076,0.1319358779827362
